Gene	Hyb15	Hyb16	Hyb17	Hyb18	Hyb19	Hyb20	Hyb21	Hyb23	Hyb26	Hyb27	Hyb28	Hyb30	Hyb31	Hyb38	Hyb39	Hyb40	Hyb45	Hyb46	Hyb49	Hyb57	Hyb59	Hyb68	Hyb69	Hyb78	Hyb79	Hyb80	Hyb81	Hyb82
WFDC2	9.19936642349828	8.978958063438595	8.938296221263075	9.573711697076387	8.887932699843772	9.25875575541746	9.409634761374653	9.146047661514412	9.142308356823907	9.114518043476828	9.301584850010528	8.878577779502583	8.802307590589022	9.045137439305448	8.881280696198443	8.48780779042932	8.845472713340492	9.172231406587157	9.791723947811557	8.646131193105322	8.639328267900114	9.099037446061075	9.41319030010237	9.411716544379686	9.01606866679199	8.532449796630829	8.67894389912649	8.166240869374946
MAPK1	7.518157489202784	7.473766772189589	7.408216825126706	7.393676852006854	6.981325755876337	7.2133673568588845	7.5744135958359475	7.252222638703691	7.304985094697112	7.189999022855604	7.258279748392624	7.0945501407108384	7.419964045325321	7.40024938085279	7.266110960273576	7.431103027501389	7.059647658223537	7.37365578867338	7.4610948029114095	7.436917271292835	7.0659589002044285	7.349408812788201	7.509920043888746	7.322613844445622	7.444105732531841	7.370954718628664	7.085706581820645	7.795470282274245
ZDHHC11	9.178762191337013	9.216165901126054	9.31462297280016	9.196074213060813	9.306739212040826	9.170047833110672	10.0617404653171	8.961733355100108	8.793298987016387	7.612030474048055	7.883529672744547	7.895256563317496	8.779151378320696	7.746832332435275	7.617716010285217	7.587927736927004	7.71015154793816	8.892888231187062	7.648274605098318	8.642700244835474	8.617939895784316	8.741002295567398	9.367178483804524	8.568750027875929	8.18586912273589	7.178813891936138	7.869700061590289	8.625819389640556
RBBP6	7.79703589363251	7.764675479567393	8.018383034881994	8.137629084346289	8.226399785258824	8.313968757527233	8.053617339843456	7.9265218307016925	8.051139607189398	8.080686665068328	8.10048014118058	8.079453346922767	8.186406815938023	8.12624505068186	8.202168270703943	8.104561676748359	8.348272262238956	8.214118362823013	8.164017366464266	7.940775435138206	8.18557310123897	7.935856524802524	8.12330710834894	8.074042699010793	8.18046409275134	7.896363747424677	8.036575481081272	8.15626231270072
TRIOBP	7.86515424581413	7.943042667820256	7.99356945234597	8.146943701076898	7.909156157270344	8.116901732069675	8.131462809564706	7.891052423299444	8.043696662767434	7.817632760951975	7.869906062927194	7.831461277094294	7.959655628589822	8.083104754011847	8.01590526127031	7.960913944495974	8.09088956660531	7.899562340570336	7.825994512939724	7.91085649831943	7.753043147115979	7.939231934154198	7.993043677318894	8.065973039513988	8.121900402097314	7.969470566649337	7.828567226188295	8.185817957940094
CNOT7	8.155295015577668	8.077585368757944	8.071362048600847	8.491483293521654	8.65025887196137	8.633801042038666	8.400012894548311	8.131850969121453	8.416637978019358	8.293050955367333	8.454938442134164	8.22077531823886	8.58247824067274	8.192404522175936	8.281619818866641	8.376913441794148	8.47877884526477	8.298135817799817	8.562725577410351	8.340341330001047	8.564905837829501	8.299844141100031	8.5117612821714	8.248697961872114	8.210094063043655	8.08306871149372	8.114867533322798	8.307724814789328
CRYZL1	6.91110546853138	6.850052679271552	6.685539456851728	7.173833190248632	7.223505784280789	7.372743522718864	6.9120742065211855	6.762609770758665	6.812064388892717	6.78093314997175	6.800042036728515	7.151588468112168	7.220393465126908	7.211114345248825	7.083039487729122	7.076489487062288	6.674107940973227	6.8441541888664235	7.384994788221519	6.954062622726619	7.137633690245754	7.060548151698517	7.182681571853801	6.670054846185723	7.013324279121565	6.706481647698546	6.880420974749238	7.067086022163539
BACH1	5.087885414206361	5.215244966960804	5.244416668292864	5.177816228755053	5.31758379816661	5.190855330679573	5.315312251380838	5.161771495373698	5.252514512114531	5.212309927094496	5.204662111676616	4.98043027826905	5.206833565820296	5.030498216343942	5.052323737956535	5.221599352775541	5.086199915657048	5.125656188171497	5.146514304771418	4.965730506341581	5.125082814473903	5.194532137837032	5.1284046297907535	5.201681059782636	4.933163130090467	5.1955365481712255	4.930174313516118	5.187863936477432
TM2D3	8.441629117347556	8.400980316475826	8.520104179110591	8.544374840438769	8.467071429180548	8.550374922605707	8.432561813932729	8.429009195995002	8.603842414144546	8.634111150806946	8.533453486670636	8.594468340447467	8.498251580422313	8.301224133947342	8.33438329386502	8.4448931179359	8.799915555695867	8.415711356794658	8.39342910926143	8.339169503871062	8.360428949206321	8.530717383128344	8.382019268938839	8.469540049459926	8.56610352136075	8.551601791155653	8.525866933456646	8.431348411578986
PRUNE2	6.934516734019955	6.524759939867685	6.655309585237659	5.619970552359284	6.389291013186465	5.689220823825241	5.95560117093689	6.170446575047998	5.746430707068473	6.688849189272808	5.805655359129084	6.77162221814127	6.5026861046186495	7.105295543661987	5.83504478172119	7.3926097897379535	4.934955648096696	6.389322540459663	6.117643643160637	6.8419148884457455	6.688605312486177	6.8451091880230175	6.0176340652843345	5.869083976131777	7.527074411679308	7.006910533028523	6.724903458244896	7.394312434984568
ABHD11	6.6456327891950995	6.588146145264098	6.63506825309137	7.409153087225747	6.6063799887922325	6.789800894919043	7.530991504880568	6.527093082707417	6.41830399218753	6.133935839998795	6.478981093590951	6.443546913338958	6.8440536079648755	6.705012010187431	6.553659144413178	6.1653270711851	6.138599082202314	6.783935008856719	7.527473541010142	6.63049006142019	6.112063759046618	6.856161711009921	7.603478296589815	6.707713433995803	6.7731091072554035	6.315135709966919	6.476717303728648	6.31351477540662
ACAP2	6.615338902252077	6.615121002833806	6.727425997079401	6.932714342218953	6.498547924991784	6.826905576027159	6.861783347238444	6.632792253675221	6.819575820624066	6.627299996668288	6.6565045699307746	6.621109572155743	6.940827703326323	6.747956383256543	6.85691630536256	6.347514550873967	6.810767570061969	6.911207474221943	7.085267536995834	6.960347495408253	6.766388457416929	6.617556377071003	6.887600108601146	7.03056618484817	6.687674866980244	6.438961149157689	6.446964362131994	6.774000553102394
IRF6	8.25231023482381	8.115832760729294	8.323109621256217	8.424039289064233	7.799672462988463	7.986030759884852	8.463765122282567	7.856108059179869	8.159387125119597	7.866208924213391	8.041639225971661	7.799974682679407	8.42897566821847	8.39528537869649	8.263601296118452	7.447939684362152	8.29657035371471	8.697190933149878	7.966475720177792	8.846616707272675	8.02790425489033	8.080865664500907	8.418449677449402	8.437383672443499	8.426368748533791	7.612256507361947	8.126008605949767	8.223456402424606
PTPRC	5.856443287370551	6.839484538782818	6.220972177454916	6.225628981199604	6.33141748045088	6.259271914547524	6.751731107114236	6.639382372153894	6.840227405049438	6.379449641760481	6.702504378276673	6.299857942029312	6.07962066968913	6.234934943453804	6.3209855421531485	6.957559445949116	6.34492889028521	6.540512223496991	6.516395968996863	6.084255386650019	6.466254055526704	5.8668047534262895	5.709467657076262	5.874596230723574	6.5185186639107275	7.343099836903401	6.279538406515335	5.940141564810733
MAN1A2	6.833245831453207	6.810869649636608	6.975434127490739	7.038550977841541	7.01595329622716	6.904923284803372	6.8600513472236	6.887022285581509	7.100692867410321	6.96551677957095	7.075692417419766	6.93324655201927	7.013589411264775	6.928728506992181	6.893294146854086	6.777436640640467	6.804036143416745	6.807890241019848	7.264087891748437	7.017275317619408	7.054661313268648	6.870227505684578	6.97619151912244	7.174442592728594	6.703560022270688	6.58338985084455	6.745689131053602	6.8962300130069
COBL	6.971069560969234	6.814038877954269	6.401246030548716	6.836756189276582	6.877649194263523	6.819575786351194	6.676677603356321	7.037922822168619	6.485294986529372	6.825676752512865	6.321930675179605	6.984740540463958	6.826961320284804	6.890184361170534	6.607252113676726	6.924914762282977	6.627168130501975	7.458981225323189	6.469180871114187	7.494898181797648	7.008366449312954	6.81405981065431	6.984259427861448	6.678465234001432	7.200507210407082	7.206990839931296	7.2937867052774195	6.779545811847553
